movie_name,ranking,score,score_num
恋恋笔记本,161,8.5,332188人评价
达拉斯买家俱乐部,162,8.7,222356人评价
血战钢锯岭,163,8.7,387462人评价
二十二,164,8.7,131893人评价
雨中曲,165,9.0,106695人评价
魂断蓝桥,166,8.8,146606人评价
穿越时空的少女,167,8.6,213211人评价
猜火车,168,8.5,277942人评价
我是山姆,169,8.8,124973人评价
冰川时代,170,8.5,320431人评价
人工智能,171,8.6,221593人评价
爆裂鼓手,172,8.6,277487人评价
头脑特工队,173,8.7,277844人评价
被解救的姜戈,174,8.6,300412人评价
未麻的部屋,175,8.8,119203人评价
罗生门,176,8.7,149174人评价
浪潮,177,8.7,152631人评价
香水,178,8.4,316889人评价
朗读者,179,8.5,305771人评价
阿飞正传,180,8.5,246032人评价
你的名字。,181,8.4,590982人评价
房间,182,8.8,189180人评价
可可西里,183,8.7,149637人评价
恐怖游轮,184,8.4,383795人评价
模仿游戏,185,8.6,301462人评价
一个叫欧维的男人决定去死,186,8.8,153341人评价
一次别离,187,8.7,150439人评价
忠犬八公物语,188,9.1,75360人评价
战争之王,189,8.6,196610人评价
追随,190,8.9,93882人评价
魔女宅急便,191,8.5,228973人评价
撞车,192,8.6,195778人评价
谍影重重,193,8.5,223461人评价
完美陌生人,194,8.6,252088人评价
地球上的星星,195,8.9,99839人评价
牯岭街少年杀人事件,196,8.8,125700人评价
谍影重重2,197,8.6,185918人评价
哪吒闹海,198,8.9,98291人评价
惊魂记,199,8.9,99741人评价
青蛇,200,8.5,260674人评价
梦之安魂曲,201,8.7,127410人评价
无敌破坏王,202,8.7,228889人评价
黑客帝国3：矩阵革命,203,8.6,184445人评价
小萝莉的猴神大叔,204,8.5,207312人评价
再次出发之纽约遇见你,205,8.5,204497人评价
海街日记,206,8.7,168008人评价
新龙门客栈,207,8.5,217337人评价
东京物语,208,9.2,60890人评价
步履不停,209,8.8,106893人评价
终结者2：审判日,210,8.6,164143人评价
源代码,211,8.4,458339人评价
初恋这件小事,212,8.3,533716人评价
绿里奇迹,213,8.7,123609人评价
城市之光,214,9.2,53608人评价
末路狂花,215,8.7,120031人评价
爱在午夜降临前,216,8.8,137665人评价
疯狂的石头,217,8.3,370589人评价
秒速5厘米,218,8.3,350519人评价
无耻混蛋,219,8.5,253599人评价
这个男人来自地球,220,8.5,209997人评价
勇闯夺命岛,221,8.6,160010人评价
E.T. 外星人,222,8.5,178604人评价
碧海蓝天,223,8.7,115316人评价
变脸,224,8.4,240894人评价
卡萨布兰卡,225,8.6,140885人评价
黄金三镖客,226,9.1,60220人评价
发条橙,227,8.5,208028人评价
彗星来的那一夜,228,8.4,220164人评价
聚焦,229,8.8,149099人评价
海盗电台,230,8.6,180625人评价
美国丽人,231,8.5,208921人评价
血钻,232,8.5,157075人评价
非常嫌疑犯,233,8.6,136461人评价
国王的演讲,234,8.3,384430人评价
荒野生存,235,8.6,144017人评价
英国病人,236,8.5,191696人评价
黑鹰坠落,237,8.6,137564人评价
我爱你,238,9.0,68798人评价
迁徙的鸟,239,9.1,56410人评价
遗愿清单,240,8.5,153002人评价
勇士,241,8.9,96986人评价
荒岛余生,242,8.5,156987人评价
2001太空漫游,243,8.7,112443人评价
枪火,244,8.7,114105人评价
燕尾蝶,245,8.6,116061人评价
叫我第一名,246,8.6,120898人评价
穆赫兰道,247,8.3,262018人评价
千钧一发,248,8.7,101615人评价
大卫·戈尔的一生,249,8.6,111024人评价
上帝也疯狂,250,8.7,106656人评价
